Precifast Pvt Ltd,,,,,,,,,,,
SNO,CUSTOMERS NAME,SECTOR,TRANSOPORT MODE/PAY BASIS,ADDRESS ,EMAIL,PHONE NO,AREA,PIN CODE,STATE,,ZONE
11,A.S.ENTERPRISES,AUTO SECTOR,VRL(TOPAY),"32/126,jain complex ,chhipitola,Agra-282001",,9410292067,AGRA,282001,Uttarpradesh,,NORH-II
12,SHUBHAM TRADERS,AUTO SECTOR,VRL(TOPAY),"PLOT NO.140,Surya nagar,kachi basti,gali no.5 rishi galav,extn,yojna first, Delhi bypass, Jaipuur-302003",,"8696473645, 9664320802",JAIPUR,302003,Rajasthan,,NORH-II
13,VINDHYAVASINI ENTERPRISES,AUTO SECTOR,VRL(TOPAY),"Tilaknagar b block,bondamuda,sundargarh-770032",sandipsingh007@yahoo.com,9861921011,SUNDARGARH,770032,Odisha,,EAST
14,KRIPA AUTO AGENCIES,AUTO SECTOR,VRL(TOPAY),"Sr. no.47/30c,plot no:-6 kwality terraces aranyeashwar road,pune-41009",kripaautoagencies@gmail.com,7770012893,PUNE,411009,Maharashtra,,WEST-II
15,VIJAI AGENCIES,AUTO SECTOR,VRL(TOPAY),"New no.4 state bank street, chennai -600002",vijaiagencieschennai@gmail.com,"944023295, 9840663295",CHENNAI,600002,Tamil Nadu,,SOUTH-II
16,TIRUPATI TRADERS,AUTO SECTOR,VRL(TOPAY),"Gandhi road, besides of maa auto,near new busstand,rourkela-769001",,"9437158561, 8093131332",ROURKELA,769001,Odisha,,EAST
17,Shirdi Sai Electricals LTD.,OEM SECTOR,VRL (PAID),"PLOT NO.13/82,INDUSTRIAL DEVELOPMENT PARK,KADAPA-516004",,9573928833,KADAPA,516004,Andhra Pradesh,,SOUTH-1
18,OMKAR ENGINEERS,INDUSTRIAL SECTOR,VRL (PAID),"A-8,Swaranjali,110/2,shivtirthnagar,paud road,kothrud,Pune-411038",,9822373752,PUNE,411038,Maharashtra,,WEST-II
19,HBL Power Systems Ltd.(HYD) (shameerpet),OEM SECTOR,VRL (PAID),"SY.NO 580/1,580/2,657/1,658, LALGADI, MALAKPET,SHAMEERPET MANDAL, HAKIMPET NISA, HYDERABAD, 500078",pradeep.burigalla@hbl.in,8096907074,HYDERABAD,500078,Telangana,,SOUTH-1
20,HBL power system ltd.(vizag),OEM SECTOR,VRL (PAID),"PLOT NO.Q6-Q-10,R1-R10,&S1-S9,PHASE-lll DUVADA,VADLAPUDI,VISAKHAPATNAM-530046",pradeep.burigalla@hbl.in,8096907074,VISHAKAPATNAM,530046,Andhra Pradesh,,SOUTH-1
21,HBL Power Systems Ltd.(Vzm.),OEM SECTOR,VRL (PAID),"Sy no-123 to 126&138(P) to 144(P), Kandivalasa (v).Kanimetta, Pusapatirega,Vizianagaram,535204",pradeep.burigalla@hbl.in,8096907074,VIZIANAGARAM,535204,Andhra Pradesh,,SOUTH-1
22,Jayachandran Industries Pvt Ltd,INDUSTRIAL SECTOR,VRL (PAID),"SF No-219/2A1, Telugupalayam Road, Ellaapalayam Post, Pogalur Via, Annur, Coimbatore-641697.",jcpurchase@jcbattery.net,79043577089,COIMBATORE,641697,Tamil Nadu,,SOUTH-II
23,Shavo Norgren India Pvt Ltd,OEM SECTOR,VRL (PAID),"UNIT-5,R-545,MIDC TTC INDUSTRIAL AREA, RABALE PO.,GHANSOLI,
NAVI-MUMBAI 400701,",,022-20879586/20879587,MUBAI,400701,Maharashtra,,WEST-II
24,ELO matic india pvt ltd,OEM SECTOR,VRL (PAID),"S.NO.114,PLOT NO.32 B HADAPSAR INDUSTRIAL ESTATE,Pune-411013",,8888886388,PUNE,411013,Maharashtra,,WEST-II
26,LAXMI AUTO CENTRE,AUTO SECTOR,VRL (TOPAY),"7, Srish Chandra Nandi lane, Berhamapore, Murshidabad, West Bengal- 742101",,"9233313796, 9434166144",MURSHIDABAD,742101,West Bengal,,EAST
27,shree katteleshwari auto distributors,AUTO SECTOR,VRL (TOPAY),"12/19, madiman compound, neeligin road,hubli, dharwad, karnataka-580029",,9448110137,DHARWAD,580029,karnataka ,,SOUTH-1
28,MM TRADERS,AUTO SECTOR,VRL (TOPAY),"41, Lucas Estate, S.F. Road, Durga Mandir, Ushagram, ASANSOL-713303",,9832836999,ASANSOL,713303,West bengal,,EAST
29,VARSONS FASTNERS PVT LTD,AUTO SECTOR,VRL (PAID),"12, Radhanath chowdhury Road, kolkata, West bengal-700015",,9831403143,KOLKATA,700015,West bengal,,EAST
30,RAGHAV ENTERPRISES,AUTO SECTOR,VRL (TOPAY),"C-7, Gajodhar nagar, near reliance petrol pump, airport road, indore-452005",raghaventerprises2310@gmail.com,9926280192,INDORE,452005,madhyapradesh,,CENTRAL
31,RAMDEO AUTO PARTS,AUTO SECTOR,VRL (TOPAY),"Udha Singh sarani, punjabipara, siluguri, Darjeeling. West bengal- 734001",ramdeoautoparts@gmail.com,9434747616,SILUGURI,734001,West Bengal,,EAST
32,JAYBHARAT AUTO MOBILES,AUTO SECTOR,VRL (TOPAY),"Shop no : 8-9, Wakf complex. Opp. Liykat market, new kabarkhana, Bhopal, madhya pradesh- 462001",,,BHOPAL,462001,madhyapradesh,,CENTRAL
33,HN TRADERS,AUTO SECTOR,VRL (TOPAY),"Near Totla petrol pump, c/o hotel gulmarg. Jalna, maharashra- 431203",,"9890986773, 9422877627",JALNA,431203,Maharashtra,,WEST-II
34,MAHAVIR AUTO AGENCY ,AUTO SECTOR,VRL (TOPAY),"201/62/280, V.K. Pally ward no : 19, malda, west bengal- 732101",ajayrajdaga@gmail.com,8967047049,MALDA,732101,West Bengal,,EAST
35,AJAY AUTO MOBILES,AUTO SECTOR,VRL (TOPAY),"Jarhabhata, Om Nagar, Near Shivanath Marga, Bilasapur, Chattisgarh-495001",ajay.bajaj2013@gmail.com ,9039786940,BILASPUR,495001,chattisgarh,,EAST
36,BEML LIMITED(hydarlic division),OEM SECTOR,VRL (PAID),"hydraulic and powerlilne Division, Beml Nagar, Kolar Gold Fields, Karnataka- 563115",bemlhpd@vsnl.net,8153263151,BANGLORE,563115,karnataka,,SOUTH-1
37,BEML LIMITED(em division),OEM SECTOR,VRL (PAID),"E M Division, BEML Nagar, Kolar Gold Fields, 563115",,"08513263373, 6200157529",BANGLORE,563115,karnataka,,SOUTH-1
38,TECHNO CRAFT INDUSTIES INDIA LIMITED,OEM SECTOR,VRL (PAID),"A-4/1, Murbad industria Area, Thane Dt, maharastra- 421401",ttdstore@technocraftgroup.com,8108196889,THANE,421401,Maharashtra,,WEST-II
39,SURESH CHANDRA KANTILAL,INDUSTRIAL SECTOR,VRL (PAID),"C/O, Nobal corporation, D-1 Mayashree compound, opp preeti petrol pump, puma villege, Bhiwandi- 421302",skunbrako@gmail.com,"9820873714, 9322771000",BHIWANDI,421302,Maharashtra,,WEST-II
40,A B STEELS,SS DEALERS SECTOR,TCI,"132, Narayan Dhuru Street, 1st Floor, Mumbai-400003",absteel81@gmail.com,9323133443,MUMBAI,400003,Maharashtra,,WEST-II
41,AMIZARA TRADING CO,SS DEALERS SECTOR,TCI,"81/103, Narayan Dhuru Street, Pydhonie, Mandvi, Mumbai City, Maharashra-400003",,,MUMBAI,400003,Maharashtra,,WEST-II
42,WELLCOAT TECH,OEM SECTOR,MORNING STAR PAID,"Gat No 315, bagde wasti, near mauli weighing Bridge, kuruli, Chakkan, Pune - 410501",,,CHAKKAN,410501,Maharashtra,,WEST-II
43,RADIANT CONSULTANCY(PUNE),OEM SECTOR,MORNING STAR PAID,"Gat no 136, Opp. Marelli motherson lighting systems, Ambethan pune, Maharashra - 410501",,,PUNE,410501,Maharashtra,,WEST-II
44,ANANTHA TRADERS,AUTO SECTOR,VRL (TOPAY),"Holding No. 170/A, Buxi Bazar Sahi, Cuttack, Odisha-753001",,"8455068102, 7978966874",CUTTACK,753001,Odisha,,EAST
45,KUNAL TRADING,AUTO SECTOR,VRL (TOPAY),"Near LIC Office, Ranchi Road, Thana- Leheri, Bihar Sharif, - 803101",,8936099850,BIHAR SHARIF,803101,Bihar,,EAST
46,NAGARJUNA FASTNERS,AUTO SECTOR,VRL (TOPAY),"Vardhaman Nivas. NO,15-1-478-N, Feelkahan, Hyderabad, 500012",,9849166440,HYDERABAD,500012,Telangana,,SOUTH-1
47,SRI BALAJI,AUTO SECTOR,VRL (TOPAY),"No 2, 1st Floor, 1st cross, susheela road, Doddamavali, bangalore-560004",,9844026769,BANGALORE,560004,karnataka,,SOUTH-1
48,TANISHA DISTRUBUTORS,AUTO SECTOR,VRL (TOPAY),"Plot no: 308/309/310, Khata NO: 120/186, madhapur samil bhirabpur, unit no:5, keonjhar, kendujhar, Odisha-758001",,8637280570,KENDUJHAR,758001,odisha,,EAST
49,PAREEK AUTOMOBILES,AUTO SECTOR,VRL (TOPAY),"Near Agarwal Market, Old Bus Stand, Purnea, Bihar-854301",,,PURNEA,854301,Bihar,,EAST
50,EMKAY AUTO LINKS,AUTO SECTOR,VRL (TOPAY),"Plot No 1331/1880 Govt Hospital Road at Barbil, Keonjhar-758035",,9937652995,KEONJHAR,758035,Odisha,,EAST
51,ALOMMEX PROFILES PVT LTD,OEM SECTOR,VRL (PAID),"G34 & G35, Sipcot Industrial Park, Behind saint, Gobian Glass Factory, Sriperumbududur Chennai- 602105",alomexprofiles@gmail.com,4427168089,SRIPERUMBUDUDHUR,602105,Tamil Nadu,,SOUTH-II
52,PROCESS PUMPS PVT LTD,OEM SECTOR,VRL (PAID),"Plot No : 86, III Phase, peenya industrial Area. Bangalore-560058",pppil@satyam.net.in,0091-80-28395327/28,BANGALORE,560058,karnataka,,SOUTH-1
53,RAJSRIYA AUTOMOTIVE INDUSTRIES (P) LTD,OEM SECTOR,VRL (PAID),"Plot No: 71-B, Sipcot industrial complex, Hosur-635126, T.N, Mob  No: 04344-278092, 400900,400975",rajsriyahosur@rajsriya.com,"04344-278092, 400900,400975",HOSUR,635126,Tamil Nadu,,SOUTH-II
54,AKAY FASTNERS,INDUSTRIAL SECTOR,DHELIVERY,"33/1, N.S. Road, Marshal House, Room No. 230, Kolkata, West Bengal-700001",gagarwal@akayfasteners.com,"7890202816, 9830082162",KOLKATA,700001,West Bengal,,EAST
55,PRADEEP INDUSTRIAL CORPORATION,INDUSTRIAL SECTOR,VRL,"1st Floor, No.9 Dresser Yahaooa lane, SJP Road cross, Banglore, Pin code- 560002",sales@pradeepunbrako.in,"9844022231, 22272232, 22225992",Banglore,560002,karnataka,,SOUTH-1
56,EASTERN AUTO DISTRIBUTORS PVT LTD,AUTO SECTOR,NECC,"OPP. Sri Sai Baba Mandir. Sarouchiya, Biratnagar-6, Koshi State Nepal, mob: 97721501073",seatnepal@gmail.com,97721501073,biratnagar,,Koshi state (Nepal),,OTHER
57,Global Aluminium Private Limited,OEM SECTOR,VRL,"Sy.No: 157, 161 & 162,Kallakal Village,Toopran Mandal,India - 502334",satyakiran@globalaluminium.com,8885445390,HYDERABAD,502334,Telangana,,SOUTH-1
58,GUHA TECHNO INC,SS DEALERS SECTOR,VRL,"No. 3/26, 18th Main Road, 2nd Cross, Devendramunireddy Layout, Next to, Deccan Intl School, Chikkalasandra, Banglore, 560061",kukkenguha@airtelmail.in,9845379536,BANGLORE,560061,karnataka,,SOUTH-1
59,C.R.I. PUMPS PRIVATE LIMITED,OEM SECTOR,VRL,"7-46-1, Keeranatham Road, Saravanampatti,Coimbatore - 641035.", www.crigroups.com,,COIMBATORE,641035,Tamil Nadu,,SOUTH-II
60,GABRIEL INDIA LIMITED,OEM SECTOR,,"S No 102/3-106 PT SIPCOT Phase 2, 51-52 -55, Momapalli Village, Hosur-635109",manikandan.s@gabriel.co.in,4344324910,HOSUR,635109,Tamil Nadu,,SOUTH-II
61,CSR FASTENERS,OEM SECTOR,,"67/1, Kanakapura Main Road, Basavanagudi, Bangalore Urban -560004",,,banglore,560004,karnataka,,SOUTH-1
62,Metalman Auto Pvt.Ltd,OEM SECTOR,,"Near Old Aanikal Road, Poonapalli Betha, Hosur, Tamilnadu-635114",,73387 29259,HOSUR,635114,Tamil Nadu,,SOUTH-II
63,SCHWING Stetter (India) Pvt Ltd,OEM SECTOR,,"G12&G12A, SIPCOT Industrial Park, Irungattukottai, Sriperumpudur Taluk, Kancheepuram-602117",vignesh.sk@tl.schwingstetterindia.com,044-71378422,SRIPERUMBUDUDHUR,602117,Tamil Nadu,,SOUTH-II
64,REDLANDS ASHLYN MOTORS PLC,OEM SECTOR,,"2/575, Madukkarai Road, Coimbatore, Thamil Nadu- 641050",,,COIMBATORE,641050,Tamil Nadu,,SOUTH-II
65,Exim Fasteners,OEM SECTOR,,5-4-33 Shop No 3 Ground Floor Sterling Apartments Distillery Road Ranigunj Secunderabad ,eximfasteners@gmail.com,": 04066498777 66480008,9000006952",Secunderabad,,hyderabad,,SOUTH-I
66,MAHAVIR TRADING CO.,SS DEALERS SECTOR,VRL,"Gala No.16 -A Shiv Shambu Industrial Estate, Bhoot Pada, Near Highway, Opp. Golden Tulip Hotel, vasai (East), thane-401208",,9920155559,thane,401208,Maharashtra,,WEST-II
67,NILESH ENGINEERING,SS DEALERS SECTOR,VRL,"Buliding No: A8, Prithvi complex, Kalher Pipeline Road, Villege Kalher, Tal. Bhiwandi-421302",,,BHIWANDI,421302,Maharashtra,,WEST-II
68,UNIVERSAL AGENCIES,SS DEALERS SECTOR,VRL,"No.179, 1st Floor, Sadar patrappa Road, S P Road, Near SBI Bank, Pox Box No 6854",,8022237060,banglore,560002,KARNTAKA,,SOUTH-1
69,ENARKA INDIA PVT LTD,OEM SECTOR,VRL,"No 19/3, 3rd Floor, Bikasipura Main Road, Behind Metro Cash and Carry JC Industrial Area, Yelachenapalli, banglore-560062",,"8026861999, 9123510288",banglore,560062,KARNTAKA,,SOUTH-1
70,VISHAL INDUSTRIAL TRADERS,SS DEALERS SECTOR,VRL,"Meghdoot Estate, Gala No.1 Behind Model Co-op Bank, Near Hyundai showroom, Sativali vasai-East, 401208",vitfuture@gmail.com,7021702234,vasai,401208,Maharashtra,,WEST-II
71,PADMAVATI HARDWARE MART,SS DEALERS SECTOR,TCI,"B-23, Adavance Business Park Opp Namaste Circle, Shahilbaurg Road Shahilbaug, Ahmedabad",padmavati-hw@yahoo.co.in,9824025738,Ahemadabad,380004,gujarat,we,WEST-I
72,SHIVAM FASTENERS,AUTO SECTOR,VRL,CUTTAK,,9437120215,CUTTACK,,Assam,,
